Domain Code,Domain,Area Code (M49),Area,Year Code,Year,Item Code,Item,Months Code,Months,Element Code,Element,Unit,Value,Flag,Flag Description,Note
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","108.7633","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","109.1984","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","109.8754","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7004","April","6125","Value","","110.4138","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7005","May","6125","Value","","110.2813","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7006","June","6125","Value","","110.7445","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7007","July","6125","Value","","110.2794","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7008","August","6125","Value","","109.7169","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7009","September","6125","Value","","109.5853","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7010","October","6125","Value","","110.2647","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7011","November","6125","Value","","111.5658","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2018","2018","23013","Consumer Prices, Food Indices (2015 = 100)","7012","December","6125","Value","","113.8306","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7001","January","6125","Value","","115.4584","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7002","February","6125","Value","","116.5437","X","Figure from external organization","base year is 2015"
"CP","Consumer Price Indices","643","Russian Federation","2019","2019","23013","Consumer Prices, Food Indices (2015 = 100)","7003","March","6125","Value","","117.243","X","Figure from external organization","base year is 2015"
